"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Entry Year"
"Coverage:   UK domiciled and direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_020_01.pdf"
 
Entry Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2007 ,"'A20 The University of Aberdeen' ","'England' ",415
2007 ,"'A20 The University of Aberdeen' ","'Northern Ireland' ",70
2007 ,"'A20 The University of Aberdeen' ","'Scotland' ",1615
2007 ,"'A20 The University of Aberdeen' ","'Wales' ",15
2007 ,"'A30 Abertay University' ","'England' ",40
2007 ,"'A30 Abertay University' ","'Northern Ireland' ",45
2007 ,"'A30 Abertay University' ","'Scotland' ",845
2007 ,"'A40 Aberystwyth University' ","'England' ",1115
2007 ,"'A40 Aberystwyth University' ","'Northern Ireland' ",15
2007 ,"'A40 Aberystwyth University' ","'Scotland' ",10
2007 ,"'A40 Aberystwyth University' ","'Wales' ",705
2007 ,"'A45 The College of Agriculture, Food and Rural Enterprise' ","'Northern Ireland' ",80
2007 ,"'A50 American InterContinental University - London' ","'England' ",10
2007 ,"'A60 Anglia Ruskin University' ","'England' ",2270
2007 ,"'A60 Anglia Ruskin University' ","'Northern Ireland' ",10
2007 ,"'A60 Anglia Ruskin University' ","'Scotland' ",5
2007 ,"'A60 Anglia Ruskin University' ","'Wales' ",5
2007 ,"'A70 Askham Bryan College' ","'England' ",35
2007 ,"'A80 Aston University, Birmingham' ","'England' ",1675
2007 ,"'A80 Aston University, Birmingham' ","'Northern Ireland' ",5
2007 ,"'A80 Aston University, Birmingham' ","'Scotland' ",5
2007 ,"'A80 Aston University, Birmingham' ","'Wales' ",25
2007 ,"'B06 Bangor University' ","'England' ",995
2007 ,"'B06 Bangor University' ","'Northern Ireland' ",15
2007 ,"'B06 Bangor University' ","'Scotland' ",5
2007 ,"'B06 Bangor University' ","'Wales' ",975
2007 ,"'B11 Barking and Dagenham College' ","'England' ",40
2007 ,"'B12 Barony College' ","'Scotland' ",5
2007 ,"'B15 Basingstoke College of Technology' ","'England' ",30
2007 ,"'B16 University of Bath' ","'England' ",1890
2007 ,"'B16 University of Bath' ","'Northern Ireland' ",25
2007 ,"'B16 University of Bath' ","'Scotland' ",15
2007 ,"'B16 University of Bath' ","'Wales' ",130
2007 ,"'B20 Bath Spa University' ","'England' ",1590
2007 ,"'B20 Bath Spa University' ","'Northern Ireland' ",5
2007 ,"'B20 Bath Spa University' ","'Scotland' ",5
2007 ,"'B20 Bath Spa University' ","'Wales' ",75
2007 ,"'B23 Bedford College' ","'England' ",45
2007 ,"'B26 Bell College' ","'England' ",5
2007 ,"'B26 Bell College' ","'Scotland' ",725
2007 ,"'B32 The University of Birmingham' ","'England' ",4560
2007 ,"'B32 The University of Birmingham' ","'Northern Ireland' ",10
2007 ,"'B32 The University of Birmingham' ","'Scotland' ",15
2007 ,"'B32 The University of Birmingham' ","'Wales' ",130
2007 ,"'B35 University College Birmingham' ","'England' ",830
2007 ,"'B35 University College Birmingham' ","'Northern Ireland' ",5
2007 ,"'B35 University College Birmingham' ","'Wales' ",10
2007 ,"'B37 Bishop Burton College' ","'England' ",175
2007 ,"'B38 Bishop Grosseteste University' ","'England' ",430
2007 ,"'B41 Blackpool and The Fylde College' ","'England' ",665
2007 ,"'B41 Blackpool and The Fylde College' ","'Northern Ireland' ",10
2007 ,"'B41 Blackpool and The Fylde College' ","'Scotland' ",5
2007 ,"'B41 Blackpool and The Fylde College' ","'Wales' ",5
2007 ,"'B44 University of Bolton' ","'England' ",675
2007 ,"'B44 University of Bolton' ","'Northern Ireland' ",10
2007 ,"'B44 University of Bolton' ","'Scotland' ",5
2007 ,"'B44 University of Bolton' ","'Wales' ",10
2007 ,"'B50 Bournemouth University' ","'England' ",3320
2007 ,"'B50 Bournemouth University' ","'Northern Ireland' ",10
2007 ,"'B50 Bournemouth University' ","'Scotland' ",15
2007 ,"'B50 Bournemouth University' ","'Wales' ",45
2007 ,"'B53 The Arts Institute at Bournemouth' ","'England' ",655
2007 ,"'B53 The Arts Institute at Bournemouth' ","'Northern Ireland' ",5
2007 ,"'B53 The Arts Institute at Bournemouth' ","'Scotland' ",5
2007 ,"'B53 The Arts Institute at Bournemouth' ","'Wales' ",5
2007 ,"'B56 The University of Bradford' ","'England' ",1915
2007 ,"'B56 The University of Bradford' ","'Northern Ireland' ",5
2007 ,"'B56 The University of Bradford' ","'Scotland' ",15
2007 ,"'B56 The University of Bradford' ","'Wales' ",15
2007 ,"'B60 Bradford College' ","'England' ",615
2007 ,"'B60 Bradford College' ","'Wales' ",5
2007 ,"'B70 Bridgwater College' ","'England' ",60
2007 ,"'B72 University of Brighton' ","'England' ",3840
2007 ,"'B72 University of Brighton' ","'Northern Ireland' ",20
2007 ,"'B72 University of Brighton' ","'Scotland' ",20
2007 ,"'B72 University of Brighton' ","'Wales' ",45
2007 ,"'B74 Brighton and Sussex Medical School' ","'England' ",125
2007 ,"'B77 Bristol, City of Bristol College' ","'England' ",250
2007 ,"'B78 University of Bristol' ","'England' ",3025
2007 ,"'B78 University of Bristol' ","'Northern Ireland' ",25
2007 ,"'B78 University of Bristol' ","'Scotland' ",40
2007 ,"'B78 University of Bristol' ","'Wales' ",145
2007 ,"'B79 Bristol Filton College' ","'England' ",25
2007 ,"'B80 Bristol, University of the West of England (UWE)' ","'England' ",5350
2007 ,"'B80 Bristol, University of the West of England (UWE)' ","'Northern Ireland' ",10
2007 ,"'B80 Bristol, University of the West of England (UWE)' ","'Scotland' ",25
2007 ,"'B80 Bristol, University of the West of England (UWE)' ","'Wales' ",360
2007 ,"'B81 British College of Osteopathic Medicine' ","'England' ",45
2007 ,"'B84 Brunel University London' ","'England' ",3170
2007 ,"'B84 Brunel University London' ","'Northern Ireland' ",10
2007 ,"'B84 Brunel University London' ","'Scotland' ",10
2007 ,"'B84 Brunel University London' ","'Wales' ",20
